"","title","point","review"
"1","어린 의뢰인","10","실화를 모티브로 한 영화, 배우들의 연기는 물론 스토리까지 극중 연기자에 완벽히 몰입되어 계모 욕까지 나오는 몰입도 좋은 영화입니다"
"2","컨택트","10","자신의 일생을 다 볼 수 있다면 당신의 인생을 바꾸시겠어요?모든 여정을 알면서도 그 끝을 알면서도 모든 순간을 기쁘게 받아 들인다."
"3","수상한 그녀","9","가족끼리 재밋게봄 15세까진 아닌생각든다 12세도 봐도 됌ㅋㅋ"
"4","작은 아씨들","10","너무 좋다.... 영화관에서 못 본게 한이 될 것 같지만 집에서 보는 것조차 좋았음.."
"5","라이크 크레이지","6","어장관리의 필요성과 일반적으로 세컨드가 더 섹시하고 매력있다는걸 잘 보여줌"
"6","제인 도","9","진짜 공포 영화로 수작임 기승전결 좋음"
"7","라라랜드","10","음악이 너무 아름다워요"
"8","감기","8","좀 영화가   도움은되었는데 좀  잔인했다  사람을 어떻게 태울수있지?안죽은사람까지그래도   감염은   코로나19랑비슷하다"
"9","실종","10","남자 납치당하고 강간당하고 죽이고 하는 거 찍으면 남자가 되게 불편해한다고 생각하는 거 같은데 막상 봐도 아무런 느낌도 안들어ㅋㅋㅋ 물론 남자가 남자를 강간하는 거면 눈살 찌푸러지고 역겹지 애초에 그건 게이 야동이지 않을까? (너희가 좋아하는거 ㅋㅋ)남자 아무리 죽여봐야 별 느낌 안 든다 꼴페미들아 ㅋㅋ결론은 게이 영상 보는 게 더 역겹지 너희들이 원하는 반대 입장 영화 찍어봐야 별 느낌 안 든다고 ㅋㅋ2010년도부터 꼴페미들이 불어나기 시작햇다는게지금와서보니 너무 놀랍다 ㅋㅋ영화는 영화일 뿐 너무 심취하지 말자 꼴페미 멧돼지들아 ㅋ 막상일어나도 안심하라고 너희가 납치당할일은 다음생에도 없을태니 ㅎㅎ"
"10","열한번째 엄마","10","좋은 영화네요. 인물들이 처한 현실이 너무나 리얼합니다. 보는 내내 마음이 아팠어요. 배우들의 연기도 너무 훌륭하고요."
"11","비상 계엄","9","믿고보는 덴절의 연기력. 지금의 시선에도 어색함이 없는 스토리."
"12","바이올렛 에버가든 - 영원과 자동 수기 인형 -","10","다음 극장판이 기대 됩니다"
"13","신문기자","9","일본특유의 답답한 전개가 있긴했지만, 껍데기만 민주주의인 일본 언론환경에서 이런 소재를 기획한것에 점수를 주고싶다. 더군다다 심은경이라는 배우를 캐스팅 한것도 영화를 좀더 재미있게 볼수 있는점인것 같다.앞으로 일본이 전체주의시스템에서 민주주의 언론환경이 되었으면 한다."
"14","앵그리 버드 2: 독수리 왕국의 침공","9","생각 보다 웃기고 재밌다 6점부턴 알바인듯하다  유치하지 않은 개그ㅋㅋ 밥이 춤출때 빵터졋다"
"15","명탐정 코난: 감청의 권","6","점점 이게 코난인지 드래곤볼인지... 남은건 키드뿐"
"16","너의 이름은.","10","진짜 강추입니다 무조건 보세요 그냥"
"17","살인의 추억","9","근데  봉준호감독작에는  송강호가  많이나오는것같다"
"18","락아웃: 익스트림미션","10","재밋는데 평점 보소 여주이쁘고 남주 존멋탱"
"19","월드워Z","10","2시간이 어떻게 지나갔는지 모르겠어요 이런 재밌는 영화가 만들어져서 정말 행복합니다"
"20","버즈 오브 프레이(할리 퀸의 황홀한 해방)","10","유쾌하고 재미있게 잘 보았다. 특히 할리퀸의 액션이 돋보였다. 고난이도의 브리지와 발차기가 인상적이였다. ost도 귀에 쏙쏙 들어오고 신선하고 지루할틈 없었다."
"21","영웅","10","최고의 영화 중 하나입니다!"
"22","교회오빠","10","이거 꼭 보고 싶은데.. 재개봉 날짜 미뤄졌네요 다운 받을 수 있게 판매하실 수 없나요!!!!"
"23","기생충","10","역시  봉준호감독 작이니  명작이네명작   근데   청불아님?"
"24","청년경찰","3","초반좀보고 괜찬네~ 싶다가 중반 부터 납치돼고 웃음 없어지네.. 아니 그래도 이게15세 일수가 잇나? 이 영화 만든사람 자식들 15세 되면 한번보여줘봐라 좀.. 10점준분들중 대부분은 알바들 같다...--"
"25","어린 의뢰인","10","완전 펑펑운 영화 ㅠㅠ 죽이고싶엇다ㅠ"
"26","도리화가","2","수지 알바들아 작작해라.. 노잼인건 노잼인거다"
"27","용길이네 곱창집","7","토키오가 그렇게 왕따 이지메를 당해서 맨날 맞고 결석하는데도 해결은 안해주고 무조건 학교를 가라고 하면 애가 힘들어서 버티겠냐?? 적어도 해결을 어떻게 해줄테니까 좀만 참으라든지, 뭔가 해결하려는 노력이라도 보여줘야 애가 버티지. 자살 안하고 버티냐?? 그 부분에서 답답해 죽는줄. ㅉ ㅜㅜ"
"28","트리플 엑스","9","그러게 담배 좀 끊어라니까~!"
"29","월드워Z","7","미국은 월드워z를 만들고 한국은 부산행을 만든다. 선진국과 중진국의 차시"
"30","정직한 후보","2","예고편이 다였다...."
"31","바이올렛 에버가든 - 영원과 자동 수기 인형 -","10","하아....역시는 역신가 봅니다 오져버리는 미친 작화에 성우진들.... 진짜 미쳤어요!!!!(By 바이올렛 에버가든이 최애인 사람)참고로 화재에도 불구하고 이렇게 멋진 극장판 만들어주신 쿄애니 관계자 분들 감사드립니다...그리고 삼가 고인의 명복을 빕니다..."
"32","독전","8","아 긴장감 리얼 쩔게 만드네~ 이렇게 한순간도 긴장감있고 의문의 이선생 때문에 영화보는 내내 쫄깃했고 재밌음."
"33","스파이더맨: 파 프롬 홈","7","'찌리릿'으로 한계를 넘어선 스파이더맨의 액션은 확실히 볼 만하다. 하지만 관객의 최고 찌리릿이 쿠키 영상에 기인한다는 건 영화의 한계이기도 하다. 이웃을 구하는 친절한 이웃이 세상을 구하는 슈퍼히어로가 되는 과정엔 결여된 것도 있다. 이야기보다는 캐릭터, 캐릭터보다는 배우의 멋."
"34","맘마미아!","8","진짜 뮤지컬이라 스토리에 상대적으로 덜 신경써서 그렇지 개막장스토리네요ㅋㅋㅋ 넘버는 좋습니다"
"35","어린 의뢰인","10","영화가 실제사건보다 더 잔인한줄 알았는데 실제사건이 훨씬 잔인해서 놀랬다. 악마 실업자 만들년 퉤퉤"
"36","마루 밑 아리에티","9","OST, 영상미 모두 훌륭하고 너무나 매력적인 아리에티"
"37","빅쇼트","10","문재앙에게 보여주고 싶은 영화랄까"
"38","초인","10","여주 예쁘다 생각 했는데 김옥빈 동생이었네."
"39","마녀","10","이태원 클라쓰를 보고 김다미 배우님을 찾아 영화 마녀를 보았습니다.와~ 내가 찾던 거네요마녀2도 너무너무 기대되네요~"
"40","의뢰인","2","ㅈ노잼 진심 반이상은 보다가 껐다 아디덴티티 보러감"
"41","그린 북","10","예상치 못한 재미와 감동. 인생영화 중의 하나!!"
"42","어벤져스","8","많은 양을 채워놓아서 흘러넘치기 직전의 영화약간 루즈하지만 최고다"
"43","평양성","7","지금보니 배우 라인업은 쥑이네 ㅋㅋ"
"44","82년생 김지영","1","좀비를 피해서 부산에 내려가 딸을 낳구, 그곳 남자(1편에 나온 증권사 매니지먼트랑 닮았음)랑 재혼을 했는데, 집안일만 하다가 몸이 이상해진다는 내용."
"45","엑시트","1","이런게 942만이라고???...영화 보는 수준 진짜 낮다...안봤으면 굳이 안봐도 됩니다...이거 보느라 투자한 시간이 아까워..."
"46","아이언맨","9","장대한 시리즈의 첫 시작점"
"47","사냥의 시간","10","캐스팅 진짜 미쳤다ㅠㅠㅠ 빨리 보고싶음"
"48","브이아이피","10","하 진짜 페미들 난또하도 ㅈㄹㅈㄹ하길래 얼마나 심한가했다 진짜 그놈의 유난 아휴 ㅋㅋ 이종석의 변태또라이 설정을 납득시키기위한 장치일뿐이지 이게왜또 여자가 나오고 감독의 성향얘기가 다 나와 ㅋㅋㅋ 그래서 영화나온여자분 진짜 강간당했어??? 아니잖아 연기잖아 하 OO그놈의 젠더감수성 진절머리가난다 그럼 영화에서 남자들이 다 총맞아OOO건 남성혐오아니냐 걸스캔두애니팡인데 어째저런 위험한수사에늘 여경은 코빼기도안보이냐 영화나 실제로나 ㅋㅋㅋ 우리나라에선 영화도이젠 페미들눈치보면서만들어야된다 82톤 김지영 평점은 진짜 ㅋㅋㅋ어휴"
"49","미스터 주: 사라진 VIP","2","평점왜이래 하... 평점 보고 vod구매할걸 부모님 무료해하셔서 보여드린다고 vod만구매해서 틀어놓고 나왔는데.. 하 조금더찾아볼걸"
"50","알리타: 배틀 엔젤","10","여운처럼 남아있다 알리타...2편이 빨리 나오길..."
"51","슬럼독 밀리어네어","9","운명은 만들어 나가는것"
"52","센과 치히로의 행방불명","10","이영화는인생영화죠 너무 재밌고 감동적이에용"
"53","더 캡틴","8","흑백영화 별로 안좋아하는데스토리도 흥미롭고 변해가는 주인공의연기력이 좋았다"
"54","정직한 후보","10","시간가는줄모르고 봤네요 감동도있고 새로운소재로 재밌었어요^^"
"55","셰이프 오브 워터: 사랑의 모양","10","볼 때마다 눈물만 난다 아름다움의 극치"
"56","호빗: 다섯 군대 전투","10","반지만큼은 아니어도 정말 탁월하다"
"57","빌리 엘리어트","9","꿈은 이루어진다는 명제를 증명한 영화.꿈은 혼자 꾸지만 누군가 곁을 지켜주지 않으면 끝까지 꾸기 힘들다는..."
"58","최종병기 활","1","0점 짜리 표절 영화ㅋㅋㅋ"
"59","블루 발렌타인","8","결혼전에는 사랑으로 모든걸채우고, 결혼후에는 모든걸 걸어서 사랑을 채운다."
"60","이장","10","내가 원했던 영화가 이런 것. 유쾌하면서도 현실의 문제를 꼬집는 똑똑한 영화!"
"61","블루 재스민","10","케이트 블란쳇의 진짜 끝내주는 연기 볼때마다 슬프다 그야말로 파란만장한 재스민의 인생 마지막 장면은 영원히 잊을 수 없을듯."
"62","연평해전","10","이러한 상황이 좌파정권에의해 언제 일어날지 두렵다"
"63","아메리칸 파이 3 - 아메리칸 웨딩","8","기존의 아메리칸파이1,2의 특유의 느낌이 사라진거같아서 다소 아쉽지만ㅠㅠ그래도 유쾌하고 웃겨서 8점! 다좋았는데 스티플러가 똥먹는장면에서 정말 매스껍고 토할뻔했다..대체 왜그런 장면을 오랫동안 보여준건지;; 그리고 주요정보에 쓰인 줄거리에는 스티플러의 엄마를 두고 싸우는데, 실제로는 미쉘의 여동생을 갖고 경쟁한다;; 잘못써있음"
"64","파파로티","9","김호중 이야기라고 해서 두번 봄. 처음엔 착잡했으나 두번째 김호중의 음악과 삶의 이력에 대해서 좀더 알고 나서 보니 진짜 감동이었음. 이제 독보적 국민가수의 꽃갈만 걷길! 초심을 잃지 라고 책도 좀 읽어가면서.^^끝까지 응원한데이~~"
"65","지푸라기라도 잡고 싶은 짐승들","6","안타깝지만 이제 집에서 시청할수을 있기을 바랐니다."
"66","굿 라이어","9","두 배우의 연기력을 보기만 해도 충분한 영화."
"67","콩: 스컬 아일랜드","6","Kong: Skull Island"
"68","끝까지 간다","10","굳, 수작.추천할만한, 누가봐도 재있을만한 영화."
"69","바이올렛 에버가든 - 영원과 자동 수기 인형 -","10","이름을 부르는 것으로 인연은 계속된다. 너무 좋다."
"70","용쟁호투","9","지하감옥과 거울방에서 형님이 펼치는 액션은.. 모든 소년들의 로망이다!"
"71","시원찮은 그녀를 위한 육성방법 피날레","10","카토를 위한 코토에 의한 카토의 애니.사에카노의 마지막 피날레.오늘도 카토는 커여움."
"72","찬실이는 복도 많지","10","감독님 앞으로도 쭉 영화 해주세요"
"73","13시간","10","숨기고 또 숨기고 미국은 그들에게 무엇을 원했는가? 결국 희생할걸 알면서 뛰어든 그들. 그들은 용병이자 한 나라에 군인이다."
"74","인비저블맨","5","20년전 개봉한 할로우맨이 더 낫다는 느낌"
"75","스타 이즈 본","10","스토리가 탄탄하고 레이디가가 연기가 너무 놀라웠음.."
"76","그 누구도 아닌","9","힘든 순간을 살아내고 결국 스스로 선택해내는 여성들의 의지"
"77","조커","10","조커 보고나서 가족들도 봤으면 해서 집 티비로 구매해서 같이 봤는데 다들 영화가 너무 우울하다 심오하다 별로다 이런 말만 했는데 난 그 반대로 우울해서 좋았고 심오해서 좋았고 그거에 위로받고 공감했는데 왜 이 영화 싫어하는지 모르겠다"
"78","정직한 후보","7","일단 코믹은 솔직히 라미란 덕분인듯. 하지만 전반적으로 우리나라 국회의원에 대한 고발을 유쾌한 방식으로 풀어낸 것이 좋았음. 가벼우면서도 무거운 내용을 적절한 시기에 잘 다룬듯. 하지만 마지막 맺음이 좀...."
"79","부산행","10","오랜만에 다시 봤는데도 여운이 길게 남네요.."
"80","그 누구도 아닌","9","자신을 혹은 자신 주변을 위한 마지막 선택"
"81","목소리의 형태","10","마지막에 감동해서눈물남"
"82","화이트 히트","8","강렬한 엔딩으로 유명한 느와르의 고전"
"83","지. 아이. 제인","10","1년에 한 번은 꼭 봐야하는 영화"
"84","걸어도 걸어도","10","가족이라는 틀 안에서인간 내면을 여실하게 보여준다다시보게되는 영화.."
"85","아이 필 프리티","10","계속 배꼽잡고 보다가 마지막엔 울었음"
"86","클로젯","1","결말... 하정우 연기력... 정말 최악"
"87","챔피언","1","보다가 도저히 못 보겠어서 껐다"
"88","속닥속닥","2","15분째 보고있는데 너무 재미없다. 지루하고."
"89","힛쳐","1","스토리 전개 고구마 백만 25개, 연기는 범인 역할 빼곤 별 0.5개, 연출은 별 1개 ...이런 쓰레기 수준의 영화 ... 그냥 한마디로 별 1개도 아까운 시간낭비. 시간 버리고 싶은 사람은 보길. 텍사스의 황량한 배경은 볼만하다."
"90","온다","10","아씨...무서워. 난 이제 곧 마흔인데..무섭다고.그와중에 화면은 왜그리 이쁜건지 원..."
"91","열화전차","10","천장지구와 더블어 최고의 명작  극중 유덕화 NSR500  바이크는 유덕화 만큼 정말 예술 그자체"
"92","천안함 프로젝트","1","종북주의 대깨문들은 항상 이런 가짜뉴스 선동만 한다."
"93","1917","10","이거 관객수 왜이래 진짜??"
"94","바이올렛 에버가든 - 영원과 자동 수기 인형 -","10","간만에 작화 이쁜 감성 애니~~ 안그래도 코로나때문에 메마른 감성.. 잠시나마 마스크하고 극장에서 달래고 와야겠네요~ㅎㅎ"
"95","과속스캔들","8","훈훈하면서도 즐거운  영화엿습니다"
"96","기도하는 남자","10","일단 점수주고 보자 3억5천들었다는데..그에 비하면 최고다"
"97","연평해전","10","우리나라의 주적은 북한입니다. 북괴군을 격파하자"
"98","페임","2","1980년 원작과 비교해 봤을 때 리메이크작은 뭔가 밋밋한 느낌을 지울 수가 없다. 리메이크작에서는 이후 뜬 배우들도 없다. 뭔가 미흡한 기분이 드는 마지막 뒤끝은 극 내내 파워풀한 뭔가가 없었기 때문이다. 그냥 끼워붙이기 식으로 영화 필름을 연결하면 그런 느낌이 들 것이다. 꿈을 좇는 어린 학생들의 몸부림을 잘 표현해 냈다고 보기에는 좀 그렇다. 능력있는 알란 파커의 솜씨에는 못 미치는 감독 케빈."
"99","결혼 이야기","6","남자는 대체 무슨죄냐..."
"100","온다","10","츠마부키 사토시 연기 너무 좋습니다. 갈수록 너무 잘하시는 듯~^^"
"101","시동","9","해인이 이런 가볍고 귀여운 역할 종종 해주라. 마동석 개웃겨 ㅋㅋㅋ반점 주인 아저씨 돌려 웃기기 ㅋㅋㅋ"
"102","1917","10","기절한 후 깨어나 창밖을 바라보며 조명탄이 비치는 장면은 황홀하기 까지 하였다."
"103","알리타: 배틀 엔젤","10","기대 안 하고 봤는데 2시간짜리임에도 불구하고 시간 가는 줄 모르고 봤음. 다만 후속작이 있어서 그런지 본편 결말이 똥 안 닦고 화장실 나온 기분임"
